objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"The 7th Continent: BGG Promo Cards","234094","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219599","5.87256","8.05585","2","0","3783","thing","The 7th Continent: BGG Promo Cards","1","4","1000","1000","5","2017","1,2,3,4","1","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Comfort Creatures","236854","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219602","6.10214","8.32415","2.5","0","6320","thing","The 7th Continent: Comfort Creatures","1","4","1000","1000","5","2019","1,2","1","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Facing the Elements","186987","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219615","6.06638","8.13455","3","0","6358","thing","The 7th Continent: Facing the Elements","1","4","1000","1000","5","2017","1,2","1","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Fear the Devourers","186381","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219611","6.00657","8.05528","3","0","6046","thing","The 7th Continent: Fear the Devourers","1","4","1000","1000","5","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Path of Repentance","185743","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219620","6.04028","8.2754","2","0","6283","thing","The 7th Continent: Path of Repentance","1","4","1000","1000","5","2017","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Swamp of Madness","184904","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219607","6.07424","8.37305","3","0","7466","thing","The 7th Continent: Swamp of Madness","1","4","1000","1000","5","2017","1,2,3","1,2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Flying Roots","237497","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219603","5.9816","8.00049","3","0","5814","thing","The 7th Continent: The Flying Roots","1","4","1000","1000","5","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Forbidden Sanctuary","184186","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219604","6.14406","8.42749","2.6667","0","8089","thing","The 7th Continent: The Forbidden Sanctuary","1","4","1000","1000","5","2017","1,2,3","1,2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Icy Maze","183660","0","","0","1","0","0","0","0","0","1","0","1","","","","","","46219616","6.1189","8.10765","2.5","0","8204","thing","The 7th Continent: The Icy Maze","1","4","1000","1000","5","2017","1,2","1","8","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: What Goes Up, Must Come Down","236206","0","","0","1","0","0","0","0","0","1","0","1","","","","","","45795964","6.81277","8.57006","3.125","0","12395","thing","The 7th Continent: What Goes Up, Must Come Down","1","4","1000","1000","5","2019","1,2","1,2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Adorable Pandaring","173800","7","2","0","1","0","0","0","0","0","0","0","1","","","","","","29764586","5.5148","5.73162","1.2222","14580","550","thing","Adorable Pandaring","3","5","10","10","5","2015","3,4,5","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Adventure Time Fluxx","178209","7","3","0","1","0","0","0","0","0","0","0","1","","","","","","30903729","5.69628","6.49387","1.3636","4853","1426","thing","Adventure Time Fluxx","2","6","30","30","5","2015","2,3,4,5,6","","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Adventure Time: Love Letter","175307","7","4","0","1","0","0","0","0","0","0","0","1","","","","","","31164361","6.31399","7.22206","1.0488","1394","3467","thing","Adventure Time: Love Letter","2","4","20","20","20","2015","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Afrikan tähti","5130","5","2","0","1","0","0","0","0","0","0","0","3","","","","","","45611979","5.09972","4.67054","1.0935","20338","1464","thing","Afrikan tähti","2","5","45","45","45","1951","2,3,4,5","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Gods","13071","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","37451736","5.71932","6.31577","2.3049","4546","1330","thing","Age of Gods","3","6","90","90","90","2004","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Agents","141932","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26618939","5.85525","6.28156","2.3678","3232","3075","thing","The Agents","2","5","40","40","20","2013","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Agents: Black Ops","151173","0","","0","1","0","0","0","0","0","0","0","1","","","","","","26697557","5.54674","6.48851","1.5","0","717","thing","The Agents: Black Ops","2","5","30","30","30","2013","2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Agents: Mission: Critical","147402","0","","0","1","0","0","0","0","0","0","0","1","","","","","","26697567","5.55915","6.66483","1.5","0","840","thing","The Agents: Mission: Critical","2","2","0","0","0","2013","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Agents: The 'Secret' Agents","147401","0","","0","1","0","0","0","0","0","0","0","1","","","","","","26697571","5.55324","6.61977","1.6667","0","836","thing","The Agents: The 'Secret' Agents","2","5","0","0","0","2013","2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Agents: The 'Special' Agents","147404","0","","0","1","0","0","0","0","0","0","0","1","","","","","","26697553","5.55709","6.74634","1.5","0","812","thing","The Agents: The 'Special' Agents","2","0","0","0","0","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Agents: The 'Spoof' Agents","147405","0","","0","1","0","0","0","0","0","0","0","1","","","","","","26697562","5.5385","6.59167","2","0","593","thing","The Agents: The 'Spoof' Agents","2","0","0","0","0","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small","119890","8","3","0","1","0","0","0","0","0","0","0","2","","","","","","31930948","7.14572","7.37949","2.3504","281","17900","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small – The Big Box","255262","0","","0","1","0","0","0","1","0","0","0","3","","","","","","52638908","6.29417","7.79851","2.28","0","2139","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2018","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: Family Edition","205418","0","","0","1","0","0","0","1","0","0","0","1","","","","","","39213004","6.38033","7.13726","2.4754","1238","4276","thing","Agricola: Family Edition","1","4","45","45","45","2016","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemist Academy","139894","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26618932","5.48593","5.00476","1.5","18279","127","thing","Alchemist Academy","2","6","30","30","30","2013","2,3,4,5,6","2,5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","8","2","0","1","0","0","0","0","0","0","0","2","","Hard first time playing","","","","44219009","7.45529","7.67373","3.8984","111","23626","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists: Ring of Favor","167849","0","","0","1","0","0","0","0","0","0","0","3","","","","","","59024077","5.74921","7.57447","3.5455","0","1564","thing","Alchemists: Ring of Favor","2","4","90","90","90","2014","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alchemy!","154298","0","","0","1","0","0","0","0","0","0","0","3","","","","","","26617699","5.4871","5.70006","2.4","18185","333","thing","Alchemy!","2","8","45","45","45","2014","2,3,4,5,7,8","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra","6249","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","35830778","6.9196","7.02956","2.1044","470","35044","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra Nederland Card Game","431","6","2","0","1","0","0","0","0","0","0","0","1","","","","","","36429196","5.83779","6.42103","1.7234","3353","2457","thing","Alhambra: The Card Game","2","6","45","45","45","2011","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Italian; Spanish","2011","Queen multilingual edition 2011"
"Alien Artifacts","181293","8","1","0","1","0","0","0","1","0","0","0","3","","","","","","56840946","6.18642","6.67934","2.9123","1752","4316","thing","Alien Artifacts","2","5","60","60","60","2017","2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Artifacts: Discovery","238388","0","","0","1","0","0","0","1","0","0","0","1","","","","","","58702793","5.64089","7.14013","3","0","1220","thing","Alien Artifacts: Discovery","2","5","90","90","60","2018","3,4,5","","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers","48726","0","","0","1","0","0","0","0","0","0","0","1","","","","","","47332771","7.20456","7.41009","2.5701","236","14622","thing","Alien Frontiers","2","4","90","90","90","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Frontiers: Factions","93193","0","","0","1","0","0","0","0","0","1","0","1","","","","","","47332774","6.54902","7.66762","2.4857","0","5057","thing","Alien Frontiers: Factions","2","5","60","60","60","2012","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Promo Pack 2017","218518","0","","0","1","0","0","0","0","0","0","0","1","","","","","","47332782","5.57139","7.53175","3","0","725","thing","Alien Frontiers: Promo Pack 2017","2","6","90","90","90","2017","2,3,4,5,6","4","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Altiplano","234487","0","","0","1","0","0","0","1","0","0","0","1","","","","","","46334984","7.13155","7.53996","3.3319","288","9543","thing","Altiplano","2","5","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Altiplano: The Traveler","257047","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56111354","6.0144","7.6066","2.8333","0","2977","thing","Altiplano: The Traveler","2","5","120","120","60","2018","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars","110277","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","35923680","6.77876","7.08353","2.2333","609","9179","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Among the Stars: Expanding the Alliance","153137","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","35934336","5.94029","7.39172","2.3529","0","2605","thing","Among the Stars: Expanding the Alliance","2","6","30","30","30","2014","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars: Revival","170318","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","35923685","5.8875","7.20077","2.2941","3010","2083","thing","Among the Stars: Revival","2","6","30","30","30","2015","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Among the Stars: Revival – Kickstarter Stretch Goals","186182","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","36983397","5.54975","7.52632","2.5","0","388","thing","Among the Stars: Revival – Kickstarter Stretch Goals","2","2","30","0","30","2015","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars: Space Farms","207267","0","","0","1","0","0","0","0","0","0","0","1","","","","","","36983400","0","7.01786","0","0","310","thing","Among the Stars: Space Farms","2","4","30","30","30","2016","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars: The Ambassadors","139630","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","35923681","6.1387","7.27688","2.5143","0","4019","thing","Among the Stars: The Ambassadors","2","4","30","30","30","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars: Wiss","149377","0","","0","1","0","0","0","0","0","0","0","1","","","","","","37833568","5.64222","7.14621","2.5","0","988","thing","Among the Stars: Wiss","2","4","30","30","30","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony","185343","9","1","0","1","0","0","0","1","0","0","0","3","","","","","","41251676","7.7277","8.10118","3.9969","46","15558","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony: Doomsday Enhancement Pack","211238","0","","0","1","0","0","0","0","0","0","0","1","","","","","","69024391","5.85281","8.13669","3.5","0","2574","thing","Anachrony: Doomsday Enhancement Pack","1","4","120","120","60","2017","2,3,4","3","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Exosuit Commander Pack","218791","10","1","0","1","0","0","0","1","0","0","0","1","","Makes the game","","","","41255053","6.83755","8.51523","3.9444","0","5754","thing","Anachrony: Exosuit Commander Pack","1","4","120","120","60","2017","2,3,4","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Fractures of Time","272077","0","","0","1","0","0","0","0","0","1","0","3","","Kickstarter","","","","69024384","5.90767","9.03728","4.375","0","2425","thing","Anachrony: Fractures of Time","1","4","150","150","90","2020","1,2,3,4","3","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Future Imperfect","286574","0","","0","1","0","0","0","0","0","0","0","3","","","","","","78511625","5.63961","8.79177","4","0","1297","thing","Anachrony: Future Imperfect","2","4","150","150","90","2020","","","","","","","","","","expansion","","","","","","","Kickstarter","","","","","","","",""
"Anachrony: Infinity Box","278292","0","","0","1","0","0","0","0","0","1","0","1","","Kickstarter","","","","69024395","6.27736","9.1566","3.963","0","2713","thing","Anachrony: Infinity Box","1","4","120","120","30","2020","1,2,3,4","2,3,4","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Mainframe","193557","8","2","0","1","0","0","0","1","0","0","0","2","","","","","","48622063","6.06411","6.62756","1.8718","2164","3283","thing","Android: Mainframe","2","4","30","30","15","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"AquaSphere","159508","9","5","0","1","0","0","0","0","0","0","0","1","","","","","","31763111","6.91751","7.27788","3.6844","472","10026","thing","AquaSphere","2","4","100","100","100","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Archaeology: The New Expedition","191300","7","4","0","1","0","0","0","0","0","0","0","1","","","","","","34674309","6.53838","7.15238","1.2899","960","4562","thing","Archaeology: The New Expedition","2","5","20","20","20","2016","2,3,4,5","","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Archer: Once You Go Blackmail...","198522","6","2","0","1","0","0","0","0","0","0","0","1","","","","","","35943307","6.02657","7.13907","1.2632","2311","1838","thing","Archer: Once You Go Blackmail...","2","4","30","30","20","2016","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Architects of the West Kingdom","236457","0","","0","1","0","0","0","0","0","0","0","1","","","","","","54401918","7.58843","7.83276","2.7725","78","24306","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","0","","0","1","0","0","0","1","0","0","0","1","","","","","","55776484","7.0873","7.77712","3.2571","315","9448","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition): Dead of Night","282308","0","","0","1","0","0","0","1","0","0","0","3","","","","","","65014810","6.09764","8.30689","3.1","0","2825","thing","Arkham Horror (Third Edition): Dead of Night","1","6","180","180","120","2019","1,2,3,4","2","Up to 10","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","36028022","7.9269","8.1719","3.44","22","51081","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – A Light in the Fog: Mythos Pack","327293","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79678984","0","8.64706","0","0","449","thing","Arkham Horror: The Card Game – A Light in the Fog: Mythos Pack","1","2","120","120","60","2021","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – A Phantom of Truth: Mythos Pack","235542","0","","0","1","0","0","0","0","0","0","0","1","","","","","","45711250","6.16654","8.36765","3.7143","0","5308","thing","Arkham Horror: The Card Game – A Phantom of Truth: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – A Thousand Shapes of Horror: Mythos Pack","288607","0","","0","1","0","0","0","0","0","0","0","3","","","","","","67356728","5.7017","8.6123","0","0","2056","thing","Arkham Horror: The Card Game – A Thousand Shapes of Horror: Mythos Pack","1","2","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Before the Black Throne: Mythos Pack","276291","0","","0","1","0","0","0","0","0","0","0","1","","","","","","59722901","5.78329","8.49372","3.6667","0","2582","thing","Arkham Horror: The Card Game – Before the Black Throne: Mythos Pack","1","2","120","120","60","2019","1,2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Black Stars Rise: Mythos Pack","239330","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52831709","6.17392","8.53779","3.8889","0","4935","thing","Arkham Horror: The Card Game – Black Stars Rise: Mythos Pack","1","2","120","120","60","2018","2","2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack","216556","0","","0","1","0","0","0","0","0","0","0","1","","","","","","40199591","6.58683","8.26261","3.5625","0","9313","thing","Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack","215510","0","","0","1","0","0","0","0","0","0","0","1","","","","","","40199590","6.42906","8.23449","3.5","0","7303","thing","Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack","1","4","120","120","60","2016","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Curse of the Rougarou: Scenario Pack","209728","0","","0","1","0","0","0","0","0","0","0","1","","","","","","40199589","6.35728","7.87498","3.5833","0","7469","thing","Arkham Horror: The Card Game – Curse of the Rougarou: Scenario Pack","1","4","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Dark Side of the Moon: Mythos Pack","291559","0","","0","1","0","0","0","0","0","1","0","3","","","","","","67784332","5.68103","8.56228","0","0","1982","thing","Arkham Horror: The Card Game – Dark Side of the Moon: Mythos Pack","1","2","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Devil Reef: Mythos Pack","318023","0","","0","1","0","0","0","0","0","0","0","1","","","","","","76869878","5.59297","8.45172","0","0","1089","thing","Arkham Horror: The Card Game – Devil Reef: Mythos Pack","1","2","120","120","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Dim Carcosa: Mythos Pack","242088","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52831713","6.11969","8.4774","4","0","4974","thing","Arkham Horror: The Card Game – Dim Carcosa: Mythos Pack","1","2","120","120","60","2018","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Echoes of the Past: Mythos Pack","228778","0","","0","1","0","0","0","0","0","0","0","1","","","","","","45711232","6.18942","8.16951","3.8889","0","5901","thing","Arkham Horror: The Card Game – Echoes of the Past: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – For the Greater Good: Mythos Pack","267974","0","","0","1","0","0","0","0","0","0","0","1","","","","","","58811393","5.81104","8.52321","0","0","2688","thing","Arkham Horror: The Card Game – For the Greater Good: Mythos Pack","1","2","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Guardians of the Abyss: Scenario Pack","252899","0","","0","1","0","0","0","0","0","0","0","1","","","","","","53225013","5.88757","8.19424","3.8","0","3437","thing","Arkham Horror: The Card Game – Guardians of the Abyss: Scenario Pack","1","4","120","120","60","2018","1,2","1","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck","305512","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74260235","5.6643","8.3842","3","0","1668","thing","Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck","1","2","120","120","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
